,k=25
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999949257754683
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999870740209591
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.99989721517361
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9998717432757946
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9998095486780681
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9998040258685853
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9997253889964285
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9997142717092452
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9997116313786408
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9997109015428521
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9993480944305534
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9991878914878652
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9989797085413502
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9984823095643892
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9975120309152994
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9974176881334931
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9971527032349748
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.997089318907071
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.997065159138153
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.996289084067565
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.996249837583096
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9906591759191542
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9903762350598776
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9893207489944725
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9887588608007354
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.9882301074884505
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9627600422518751
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9551329471012401
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.951090154906656
