,k=15
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999985386702557
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999927277151918
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9999468477266917
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9999461933419967
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9999110200801704
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9998862901236426
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9998812013679774
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9998776881650474
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9998767685479134
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9998601841931484
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.999678960685859
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9996413063162914
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.999498209330495
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9990580814636908
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9985956828104544
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9984499700850716
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9982998686995371
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9979397908595382
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9978801479725435
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9977114425461342
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.997579774598902
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9928265526638994
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9923844060999389
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9920109249702954
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.9906327273306158
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9905153654332525
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9759156448763897
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9696014029554908
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9665237241533237
