,k=40
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999828983523436
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999736917813974
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9998059753696126
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9997495580512503
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9996286717721908
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9995745272853553
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9995075897801765
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9993551820605107
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9993303212910338
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.999325105008859
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9989442265151177
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9982140266556736
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.997851313666091
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9975394554562029
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9964252291937679
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9960444698776734
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9960342385138831
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9953385359917667
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.994941383009814
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.9944092312977876
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9942297268164845
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.988686118278038
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.988317945540542
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9874325533519888
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9867210377306787
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.986501336290477
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9483083709843823
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9405558547779119
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9359749635846228
