,k=20
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999966692961697
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999890988737263
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9999210511397328
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9999085207616211
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9998584544285186
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.999847097163913
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9998008680716889
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9997927418221831
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9997909768023521
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9997756567905592
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9994725753332333
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9994300265000666
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9992328153297704
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9987284466463608
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9979506014637272
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9978176413217537
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9977375787750071
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9974040733072622
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9973841864377061
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9968786369080216
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.996797456672481
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9914141523611352
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9909911587458484
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9902559471109303
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9892370136393395
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.9888085958879713
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9675435093674087
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9599626783361453
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9562431219285262
