,k=50
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999714116525058
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.999956245341528
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.999724981541398
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9996484941846872
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9994429471285178
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.999368953247927
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9992814897089874
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9989325822827949
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9988956984129974
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9988888340077202
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.998646905028393
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9972796269085141
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.996731000598462
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.99672738061619
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.995510692930961
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9952544797935405
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9952489177624398
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9934169081347206
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.9929667654706197
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9929465264684363
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9925789773262089
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.987639929418129
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9866193513432758
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9865805012877693
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.985363691198593
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9851151492304993
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9383499127510561
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9304389565026142
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.925718690108398
