,k=45
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999775015918931
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999662384606367
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9997676313601391
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.999701089131625
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9995474400532752
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9994469162053375
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9994381690334786
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9991648129289961
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9991338286321195
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9991277795029427
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9987989599436768
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9977754742392753
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9973314146685882
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9971556161731708
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9959879491432935
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9956605806582718
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9956534481362928
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9944390921185309
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9940022181541015
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.9937062461625589
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9934379422499193
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9881559555469966
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9874856408243518
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9870070078703452
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.985936146911711
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9859166720977088
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9433693760061972
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9355507416372001
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9308878897993181
