,k=55
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999630604037324
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999437143605518
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9996759515010297
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.9995921192110643
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9992983753036703
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.999296947236451
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9990800288585242
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9986508398057966
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.9986081417048532
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9986004842537606
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9984880602130856
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9967170846204405
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9962523946952405
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9960205919696409
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9949949359781743
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9948383920751835
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9948130820027631
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9922564665462297
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.9921759456035928
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9917613908715128
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.991633020253056
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9871232507010587
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.986141029699413
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.9857166019062645
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.9847969089763986
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.984316473564059
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9332694443871523
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9252486499155536
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9204981745495519
