,k=35
GCA_002192335.1_ASM219233v1_genomic.fna.gz,0.9999886493018447
GCA_002197225.1_ASM219722v1_genomic.fna.gz,0.9999792819954767
GCA_010183645.1_ASM1018364v1_genomic.fna.gz,0.9998401836812978
GCA_006494895.1_ASM649489v1_genomic.fna.gz,0.999794244736282
GCA_000240185.2_ASM24018v2_genomic.fna.gz,0.9996936199812121
GCA_000364385.3_ASM36438v3_genomic.fna.gz,0.9996743450781387
GCA_000597905.1_ASM59790v1_genomic.fna.gz,0.9995764669932602
GCA_002752975.1_ASM275297v1_genomic.fna.gz,0.9995086628797757
GCA_002753075.1_ASM275307v1_genomic.fna.gz,0.999489411199816
GCA_002753055.1_ASM275305v1_genomic.fna.gz,0.9994850424768781
GCA_003073675.1_ASM307367v1_genomic.fna.gz,0.9990825299887872
GCA_003368025.1_ASM336802v1_genomic.fna.gz,0.9985895811570787
GCA_002180175.1_ASM218017v1_genomic.fna.gz,0.9982948885073786
GCA_001022035.1_ASM102203v1_genomic.fna.gz,0.9978907884921009
GCA_001902255.1_ASM190225v1_genomic.fna.gz,0.9968212160706379
GCA_000417225.2_ASM41722v2_genomic.fna.gz,0.9964107119457792
GCA_002249975.3_ASM224997v3_genomic.fna.gz,0.9963913895453319
GCA_002951595.1_ASM295159v1_genomic.fna.gz,0.9961293416948428
GCA_002951555.1_ASM295155v1_genomic.fna.gz,0.9957719973904473
GCA_011106775.1_ASM1110677v1_genomic.fna.gz,0.995073587551624
GCA_011769805.1_ASM1176980v1_genomic.fna.gz,0.9949683073667908
GCA_012970185.1_ASM1297018v1_genomic.fna.gz,0.9892341206933903
GCA_902650055.1_Kp_29484_genomic.fna.gz,0.989118812662597
GCA_002258055.3_ASM225805v3_genomic.fna.gz,0.9878618936606711
GCA_002848585.1_ASM284858v1_genomic.fna.gz,0.9875569494367105
GCA_003038215.3_ASM303821v3_genomic.fna.gz,0.9870705949328097
GCA_000739495.1_ASM73949v1_genomic.fna.gz,0.9531612448510932
GCA_012970565.1_ASM1297056v1_genomic.fna.gz,0.9454536091309867
GCA_012965685.1_ASM1296568v1_genomic.fna.gz,0.9409938086522684
